ID;nombre;activa
e0000000-0000-0000-0000-000000000001;Sura EPS;true
e0000000-0000-0000-0000-000000000002;Sanitas EPS;true
e0000000-0000-0000-0000-000000000003;Nueva EPS;true
e0000000-0000-0000-0000-000000000004;Salud Total EPS;true
e0000000-0000-0000-0000-000000000005;Compensar EPS;true
e0000000-0000-0000-0000-000000000006;Coosalud EPS;true
e0000000-0000-0000-0000-000000000007;Famisanar EPS;true
e0000000-0000-0000-0000-000000000008;SOS EPS;true
e0000000-0000-0000-0000-000000000009;Aliansalud EPS;true
e0000000-0000-0000-0000-000000000010;Mutual Ser EPS;true
e0000000-0000-0000-0000-000000000011;Salud Mía EPS;true
e0000000-0000-0000-0000-000000000012;Cajacopi EPS;true
e0000000-0000-0000-0000-000000000013;Asmet Salud EPS;true
