ID;nombre;descripcion;activo
33333333-3333-3333-3333-333333333301;Representante Legal;Representante Legal;true
33333333-3333-3333-3333-333333333302;Gerente General;Gerente General;true
33333333-3333-3333-3333-333333333303;Desarrollador ABAP;Desarrollador ABAP;true
33333333-3333-3333-3333-333333333304;Desarrollador Fiori;Desarrollador Fiori;true
33333333-3333-3333-3333-333333333305;Integrador CPI/IS;Integrador CPI/IS;true
33333333-3333-3333-3333-333333333306;Integrador CIG;Integrador CIG;true
33333333-3333-3333-3333-333333333307;Coordinador de Servicios;Coordinador de Servicios;true
33333333-3333-3333-3333-333333333308;Desarrollador .Net;Desarrollador .Net;true
33333333-3333-3333-3333-333333333309;Desarrollador Python;Desarrollador Python;true
33333333-3333-3333-3333-333333333310;Auxiliar de servicios generales;Auxiliar de servicios generales;true
33333333-3333-3333-3333-333333333311;Contador;Contador;true
